0,0,721,1438,-1,-1,-1,-1,-1,-1
1,0.221443,631,1258,-1,-1,-1,-1,-1,-1
2,0.746661,3407,17197,-1,-1,-1,-1,-1,-1
3,0.311094,3407,17197,-1,-1,-1,-1,-1,-1
4,0.30142,7143,20561,-1,-1,-1,-1,-1,-1
5,2.49089,12608,71204,-1,-1,-1,-1,-1,-1
6,0.108518,12608,71204,0,0.383565,3.14159,2.26161,1e+50,1.95214e+47
8,1.89176,2869,15158,2.52442e-07,0.633677,3.14159,1.94276,71552.1,171.498
7,0.156866,13899,70478,2.52442e-07,0.671591,3.14159,1.92283,71552.1,40.4819
8,0.819138,5474,28824,2.52442e-07,0.698063,3.14159,1.87292,71552.1,91.8384
9,0.332754,5474,28476,2.52881e-07,0.717434,3.14159,1.83593,71552.1,15.6388
10,0.258253,5474,28476,2.52881e-07,0.768411,3.14159,1.79764,71552.1,14.295
7,0.06277,9019,43563,2.52881e-07,0.760564,3.14159,1.8167,71552.1,10.8053
8,0.451264,5575,28659,2.52881e-07,0.776525,3.14159,1.78563,71552.1,14.1937
9,0.291058,5575,28649,5.09262e-07,0.778114,3.14159,1.78088,45230.2,7.15839
10,0.237693,5575,28649,5.09262e-07,0.803261,3.14159,1.75271,45230.2,7.05774
7,0.042871,7879,37940,5.09262e-07,0.791021,3.14159,1.77425,45230.2,6.34872
8,0.345741,5667,28945,5.09262e-07,0.801948,3.14159,1.75446,45230.2,7.02875
9,0.279428,5667,28948,5.09262e-07,0.803041,3.14159,1.75126,45230.2,6.58491
10,0.221573,5667,28948,5.09262e-07,0.81695,3.14159,1.73478,45230.2,6.53524
7,0.036389,7400,35676,5.09262e-07,0.804982,3.14159,1.75584,45230.2,6.08633
8,0.309298,5616,28662,5.09262e-07,0.815898,3.14159,1.73724,45230.2,6.57299
9,0.289651,5616,28659,5.09262e-07,0.816448,3.14159,1.73556,45230.2,6.27159
10,0.213959,5616,28659,5.09262e-07,0.824571,3.14159,1.72556,45230.2,6.24056
7,0.034775,7227,34830,5.09262e-07,0.811354,3.14159,1.74569,45230.2,5.86977
8,0.283546,5663,28876,5.09262e-07,0.822927,3.14159,1.72869,45230.2,6.22921
9,0.27845,5663,28887,5.09262e-07,0.823043,3.14159,1.72804,45230.2,6.22645
10,0.205379,5663,28887,5.09262e-07,0.828678,3.14159,1.72176,45230.2,6.20749
11,0.010392,-1,-1,-1,-1,-1,-1,-1,-1
7,0.04562,7503,36326,5.09262e-07,0.811595,3.14159,1.74905,47083.2,11.5396
8,0.291802,5806,29619,0.0341108,0.826183,3.07945,1.726,29.9724,3.62397
9,0.284727,5806,29628,0.0341108,0.826348,3.07945,1.72526,29.9724,3.62208
10,0.203457,5806,29628,0.0341108,0.832391,3.07945,1.7185,29.9724,3.60109
7,0.034669,7297,35336,0.0341108,0.818896,3.07945,1.73809,29.9724,3.68582
8,0.283558,5802,29584,0.0341108,0.831048,3.07945,1.71992,29.9724,3.60663
9,0.288071,5802,29594,0.0341108,0.830876,3.07945,1.71976,29.9724,3.606
10,0.191259,5802,29594,0.0341108,0.834458,3.07945,1.71511,29.9724,3.59233
11,0.009971,-1,-1,-1,-1,-1,-1,-1,-1
7,0.038136,7124,34506,0.0307436,0.821567,3.08908,1.73288,35.189,3.67314
8,0.267717,5817,29671,0.0341108,0.833389,3.07945,1.71756,29.9724,3.59687
9,0.285269,5817,29675,0.205748,0.833497,2.71849,1.71706,8.47323,3.59457
10,0.188814,5817,29675,0.205748,0.836428,2.71829,1.71323,7.84696,3.58408
8,0.186605,5768,29449,0.205748,0.836294,2.71829,1.71322,7.84696,3.58361
12,0.068903,2528,11617,0.249268,0.846589,2.71829,1.69548,7.84696,3.54663
13,-1,0,-1,-1,-1,-1,-1,-1,-1
